name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,2024-02-16,31.7,23.8,28,34,23.8,28.7,18.1,56.2,0,0,0,,0,0,22,16.7,248.6,1013.2,7,2.3,243.8,21,9,10,2024-02-16T07:06:44,2024-02-16T18:39:08,0.25,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-02-17,32.6,24.3,28.9,37.6,24.3,30.1,18.6,54.2,0,0,0,,0,0,20.5,16.1,265,1012.2,9.5,2.3,247.3,21.3,9,5,2024-02-17T07:06:11,2024-02-17T18:39:34,0.25,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-02-18,32,23.7,27.8,33.1,23.7,28.7,18.4,57.5,0,0,0,,0,0,27,23,276.2,1011.3,0.8,2.8,255,21.8,9,10,2024-02-18T07:05:36,2024-02-18T18:40:00,0.29,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-02-19,32,22.7,27.4,32.9,22.7,27.5,16.3,52.8,0,0,0,,0,0,31.7,17.8,302.3,1012.1,0.5,3.1,257.7,22.2,9,10,2024-02-19T07:05:01,2024-02-19T18:40:25,0.32,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-02-20,31.4,22.7,27.1,31.9,22.7,27.3,17,55.3,0,0,0,,0,0,35.3,24.1,319.3,1012.9,5.2,3.2,256.3,21.9,9,10,2024-02-20T07:04:25,2024-02-20T18:40:49,0.35,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-02-21,28.7,22.4,26.1,30.2,22.4,26.7,20.2,70.8,0,0,0,,0,0,27,19.3,305.9,1013,17.8,3.2,238.2,20.4,8,10,2024-02-21T07:03:48,2024-02-21T18:41:13,0.39,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-02-22,28.4,23.7,25.9,30.4,23.7,26.4,20.4,72.6,0,0,0,,0,0,35.3,19.8,310.2,1013.3,15.5,3.1,239.4,20.7,8,10,2024-02-22T07:03:11,2024-02-22T18:41:37,0.42,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-02-23,29.3,21.4,25.9,30,21.4,26,16.3,58.7,0,0,0,,0,0,38.2,19.5,354.6,1013.1,8.2,3.3,258.7,22.4,9,10,2024-02-23T07:02:32,2024-02-23T18:42:00,0.46,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-02-24,31.4,21.3,26.4,30.1,21.3,25.7,8.2,33.8,0,0,0,,0,0,40,19.6,350.8,1012.1,1.4,3.2,271.3,23.4,9,10,2024-02-24T07:01:53,2024-02-24T18:42:23,0.5,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-02-25,33,19.4,26.6,30.6,19.4,26,7.6,31.9,0,0,0,,0,0,35.3,14.8,342.4,1010.7,2.7,3.2,270,23.5,9,10,2024-02-25T07:01:13,2024-02-25T18:42:45,0.53,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-02-26,34.4,22.4,28,34.4,22.4,28.3,15.5,48.8,0,0,0,,0,0,25.2,20.2,246.9,1010,12.3,3.8,259.2,22.5,9,10,2024-02-26T07:00:32,2024-02-26T18:43:07,0.56,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,remote,43060099999"
mumbai,2024-02-27,31.8,24.8,28.7,32.9,24.8,28.8,16.4,50.1,0,0,0,,0,0,28.4,16.7,312.8,1011.8,14.3,2.6,247.3,21.5,9,10,2024-02-27T06:59:51,2024-02-27T18:43:28,0.59,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-02-28,32.9,23.7,29.2,34.1,23.7,29.1,13.2,38.6,0,0,0,,0,0,30.6,16.7,326.5,1011.1,1,2.9,260.8,22.6,9,10,2024-02-28T06:59:09,2024-02-28T18:43:49,0.63,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-02-29,35.1,24.9,30.2,36.4,24.9,31.3,18.9,53.2,0,0,0,,0,0,22.3,18.1,283.4,1010.9,14,2.6,258.5,22.3,9,10,2024-02-29T06:58:26,2024-02-29T18:44:09,0.66,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-03-01,33,24.8,28.9,34,24.8,29.9,18.6,54.6,0,0,0,,0,0,26.3,23,290.8,1012,34.6,2.8,242.2,20.9,9,5,2024-03-01T06:57:42,2024-03-01T18:44:29,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-03-02,30.1,24.7,27.3,34.9,24.7,29.3,22.4,75,0,0,0,,0,0,27,20.5,269.7,1012.6,19.2,2.9,257.5,22.2,9,10,2024-03-02T06:56:58,2024-03-02T18:44:49,0.73,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-03,28,22.6,25.7,29.9,22.6,26.1,20,71.5,0,0,0,rain,0,0,36,16.7,312.2,1013.2,31.3,3.2,239.3,20.7,9,10,2024-03-03T06:56:14,2024-03-03T18:45:08,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-04,28.4,20.9,24.6,28.9,20.9,24.7,15.6,58.3,0,0,0,,0,0,31.7,18.4,325.4,1013.6,3.4,3.5,274,23.9,9,10,2024-03-04T06:55:29,2024-03-04T18:45:27,0.79,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-05,31,20.1,25.8,30.4,20.1,25.6,12.6,45.6,0,0,0,,0,0,41,21.7,329.1,1012.8,0.8,3.3,280.9,24.5,10,10,2024-03-05T06:54:43,2024-03-05T18:45:45,0.83,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
